ID,Deputados,Órgãos,Votações
1082,"73471, 73768, 73783, 73795, 73886, 74024, 74091, 74136, 74211, 74312, 74350, 74357, 74466, 74537, 74565, 74567, 74590, 74668, 74673, 74797, 74810",537590,"34591-2, 34594-2, 34601-2, 34618-2, 34622-2"
2551,"73424, 73445, 73558, 74120, 74198, 74306, 74467, 74581, 74583, 74665, 74673, 74680, 74744, 74805",2011,Nenhuma votação
2751,"73471, 73795, 74084, 74312, 74350, 74364, 74455, 74567, 74673, 74691, 74797, 74841",537590,Nenhuma votação
10331,"73475, 73487, 73532, 73888, 74192",180,Nenhuma votação
10332,"73470, 73888, 74192",180,Nenhuma votação
10333,"73470, 73487, 73888, 74192",180,Nenhuma votação
10334,"73470, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10335,"73470, 73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10336,"73470, 73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10337,"73470, 73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10338,"73470, 73475, 73532, 74199",180,Nenhuma votação
1024,"65498, 73463, 73469, 73471, 73475, 73485, 73534, 73588, 73666, 73781, 74090, 74094, 74102, 74358, 74445, 74446, 74448, 74547, 74561, 74573, 74576, 74650, 74684, 74700, 74794, 74851",5412,Nenhuma votação
1027,"73469, 73470, 73471, 73475, 73485, 73534, 73557, 73588, 73595, 73666, 73781, 74090, 74094, 74304, 74326, 74343, 74358, 74445, 74446, 74449, 74547, 74561, 74684, 74700, 74785, 74794",5412,"35188-2, 35241-2, 35242-2, 35243-2, 35244-2, 35539-2"
1078,"73459, 73587, 74216, 74329, 74465, 74529, 74537, 74675, 74684, 74756, 74848",5373,Nenhuma votação
1080,"73982, 74329, 74344, 74537, 74588, 74675, 74680, 74684, 74756, 74848",5373,Nenhuma votação
2057,"73454, 73574, 73581, 74016, 74575, 74581, 74779, 74794, 74800, 74841",5408,Nenhuma votação
2061,"73574, 74304, 74575, 74581, 74800",5408,47463-2
10339,"73475, 73487, 73888, 73896, 74192",180,Nenhuma votação
10340,"73475, 73487, 73888, 73896, 74192, 74199",180,Nenhuma votação
10341,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10342,"73475, 73487, 73888, 73896, 74192",180,Nenhuma votação
10343,"73470, 73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10344,"73470, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10345,"73470, 73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10346,"73470, 73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10347,"73470, 73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
27,"73555, 73585, 73654, 73771, 73909, 74200, 74344, 74352, 74444, 74447, 74459, 74581, 74682, 74746, 74780, 74789, 74799",2009,19711-11
1031,"73463, 73469, 73470, 73588, 73781, 74090, 74094, 74102, 74358, 74445, 74547, 74684, 74785",5412,Nenhuma votação
1032,"73469, 73475, 73588, 73781, 74090, 74358, 74449, 74560, 74576, 74684, 74794, 74802",5412,Nenhuma votação
1321,"73470, 73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
1488,"73428, 73458, 73540, 73560, 73595, 73775, 73989, 73992, 74192, 74346, 74416, 74436, 74554, 74564, 74588, 74592, 74665, 74789, 74802, 74830, 74840",5409,"36675-2, 36676-2, 36677-2, 36679-2"
1489,"73428, 73560, 74346, 74416, 74446, 74455, 74554, 74805",5409,Nenhuma votação
1490,"73428, 73442, 73458, 73459, 73560, 73595, 73891, 73983, 74313, 74346, 74362, 74416, 74478, 74554, 74588, 74592, 74660, 74665, 74795, 74802, 74805, 74808, 74812, 74840",5409,"36686-2, 36688-2, 36689-2, 36691-2, 36729-2, 36730-2, 36731-2"
1491,"73428, 73442, 73458, 73459, 73540, 73557, 73560, 73595, 73775, 73776, 73983, 73989, 73992, 74305, 74313, 74346, 74362, 74416, 74455, 74554, 74588, 74592, 74660, 74665, 74691, 74795, 74802, 74805, 74808, 74809, 74812, 74840, 74842",5409,Nenhuma votação
2062,"73454, 73574, 73654, 74016, 74304, 74467, 74581, 74841",5408,Nenhuma votação
10348,"73470, 73475, 73487, 73888, 73896, 74192, 74646",180,Nenhuma votação
